address,size,names,assemblyFile,fileByteOffset
0xac0f94,4,_ZN7cocos2d11Application8onResumeEv,text.asm,398303
0xac0f98,16,_ZN7cocos2d11Application27setPreferredFramesPerSecondEi,text.asm,398396
0xac0fa8,4,_ZNK7cocos2d11Application22getCurrentLanguageCodeEv,text.asm,398675
0xac0fac,180,_ZN7cocos2d11Application14isDisplayStatsEv,text.asm,398794
0xac1060,168,_ZN7cocos2d11Application15setDisplayStatsEb,text.asm,401364
0xac11ac,648,_ZNK7cocos2d11Application18getCurrentLanguageEv,text.asm,406131
0xac1434,8,_ZNK7cocos2d11Application11getPlatformEv,text.asm,414946
0xac143c,8,_ZNK7cocos2d11Application14getScreenScaleEv,text.asm,415093
0xac1444,8,_ZNK7cocos2d11Application10getMainFBOEv,text.asm,415252
0xac144c,4,_ZN7cocos2d11Application12onCreateViewERNS0_11PixelFormatERNS0_11DepthFormatERi,text.asm,415407
0xac1450,8,_ZN7cocos2d11Application7openURLERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,text.asm,415544
0xac1458,8,_ZN7cocos2d11Application19copyTextToClipboardERKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,text.asm,415763
0xac1460,4,_ZN7cocos2d11Application16getSystemVersionEv,text.asm,415995
0xac1464,8,_ZNK7cocos2d11Application11getViewSizeEv,text.asm,416107
0xac1584,20,_ZNSt6__ndk120__shared_ptr_emplaceIN7cocos2d9SchedulerENS_9allocatorIS2_EEED2Ev,text.asm,420017
0xac1598,52,_ZNSt6__ndk120__shared_ptr_emplaceIN7cocos2d9SchedulerENS_9allocatorIS2_EEED0Ev,text.asm,420387
0xac15f8,4,_ZN7cocos2d14CanvasGradientC1Ev | _ZN7cocos2d14CanvasGradientC2Ev,text.asm,421809
0xac15fc,4,_ZN7cocos2d14CanvasGradientD1Ev | _ZN7cocos2d14CanvasGradientD2Ev,text.asm,421932
0xac1600,4,_ZN7cocos2d14CanvasGradient12addColorStopEfRKNSt6__ndk112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,text.asm,422055
0xac1604,360,_ZN7cocos2d24CanvasRenderingContext2DC1Eff | _ZN7cocos2d24CanvasRenderingContext2DC2Eff,text.asm,422225
0xac176c,220,_ZN28CanvasRenderingContext2DImplC2Ev,text.asm,427435
